almacen,codigo,producto,categoria,unidad,saldo,saldo_fisico,por_ingresar,transito,salida_espera,reservas,saldo_virtual
LIM/Existencias,0203093,Tubo RECT 200X150X4.5mX6.0m,Rectangular,Unit(s),13.000,13.000,3.000000,0,0,0,16.000000
LIM/Existencias,0203095,"Tubo RECT 6""X4""X4.5mX6.0m",Rectangular,Unit(s),0,0,14.000,0,0,0,14.000
LIM/Existencias,0203104,Tubo RECT 40X60X1.8mX6.0m LAC ,Rectangular,Unit(s),0,0,1690.000,0,0,0,1690.000
LIM/Existencias,0203108,Tubo RECT 150X50X4.5mX6.0m LAC,Rectangular,Unit(s),0,0,5.000,0,0,0,5.000
LIM/Existencias,0203116,Tubo RECT 200X100X4.0mX6.0m,Rectangular,Unit(s),0,0,33.000,0,0,0,33.000
LIM/Existencias,0203117,Tubo RECT 50X25X2.5mX6.0m LAC ,Rectangular,Unit(s),0,0,150.000,0,0,0,150.000
LIM/Existencias,0203132,Tubo RECT 50X25X2.5mX6.0m LAC PR,Rectangular,Unit(s),0,0,300.000,0,0,0,300.000
LIM/Existencias,0203135,"Tubo RECT 8""X4""X4.5X6.0m LAC",Rectangular,Unit(s),0,0,14.000,0,0,0,14.000
LIM/Existencias,0203140,Tubo RECT 40X60X3.0mX6.0m LAC PR,Rectangular,Unit(s),0,0,49.000,0,0,0,49.000
LIM/Existencias,0203148,Tubo RECT 150X100X6.0mX6.0m ,Rectangular,Unit(s),0,0,16.000,0,0,0,16.000
LIM/Existencias,0203158,Tubo RECT 150X100X3.0mX6.0m ,Rectangular,Unit(s),0,0,48.000,0,0,0,48.000
LIM/Existencias,0203200,"Tubo RECT  10""X4""X3.0mX6.0m",Rectangular,Unit(s),0,0,3.000,0,0,0,3.000
LIM/Existencias,0204003,"Tubo Negro 1/2""X1.8mX6.0m",Negro,Unit(s),0,0,3648.000,0,0,0,3648.000
LIM/Existencias,0204004,"Tubo Negro 1/2""X2.0mX6.0m",Negro,Unit(s),0,0,762.000,0,0,0,762.000
LIM/Existencias,0204019,"Tubo Negro 3/4""X1.8mX6.0m",Negro,Unit(s),0,0,3932.000,0,0,0,3932.000
LIM/Existencias,0204020,"Tubo Negro 3/4""X2.0mX6.0m",Negro,Unit(s),0,0,254.000,0,0,0,254.000
LIM/Existencias,0204022,"Tubo Negro 1""X1.8mX6.0m",Negro,Unit(s),0,0,3071.000,0,0,0,3071.000
LIM/Existencias,0204023,"Tubo Negro 1""X2.0mX6.0m",Negro,Unit(s),400.000,400.000,1727.000,0,0,0,2127.000
LIM/Existencias,0204025,"Tubo Negro 1""X2.5mX6.4m",Negro,Unit(s),0,0,100.000,0,0,0,100.000
LIM/Existencias,0204026,"Tubo Negro 1""X3.0mX6.4m",Negro,Unit(s),0,0,1932.000,0,0,0,1932.000
LIM/Existencias,0204027,"Tubo Negro 1.1/4""X1.8mX6.0m",Negro,Unit(s),600.000,600.000,2776.000,0,0,0,3376.000
LIM/Existencias,0204028,"Tubo Negro 1.1/4""X2.0mX6.0m",Negro,Unit(s),0,0,671.000,0,0,0,671.000
LIM/Existencias,0204029,"Tubo Negro 1.1/4""X2.5mX6.4m",Negro,Unit(s),0,0,322.000,0,0,0,322.000
LIM/Existencias,0204032,"Tubo Negro 1.1/2""X1.8mX6.0m",Negro,Unit(s),0,0,2232.000,0,0,0,2232.000
LIM/Existencias,0204033,"Tubo Negro 1.1/2""X2.0mX6.0m",Negro,Unit(s),0,0,688.000,0,0,0,688.000
LIM/Existencias,0204034,"Tubo Negro 1.1/2""X2.5mX6.0m",Negro,Unit(s),0,0,100.000,0,0,0,100.000
LIM/Existencias,0204037,"Tubo Negro 2""X1.8mX6.0m",Negro,Unit(s),0,0,333.000,0,0,0,333.000
LIM/Existencias,0204038,"Tubo Negro 2""X2.0mX6.0m",Negro,Unit(s),0,0,1480.000,0,0,0,1480.000
LIM/Existencias,0204041,"Tubo Negro 2""X3.0mX6.0m",Negro,Unit(s),0,0,259.000,0,0,0,259.000
LIM/Existencias,0204043,"Tubo Negro 2.1/2""X2.0mX6.0m",Negro,Unit(s),0,0,418.000,0,0,0,418.000
LIM/Existencias,0204047,"Tubo Negro 3""X2.0mX6.0m",Negro,Unit(s),0,0,228.000,0,0,0,228.000
LIM/Existencias,0204048,"Tubo Negro 3""X2.0mX6.4m",Negro,Unit(s),0,0,55.000,0,0,0,55.000
LIM/Existencias,0204049,"Tubo Negro 3""X2.5mX6.0m",Negro,Unit(s),0,0,256.000,0,0,0,256.000
LIM/Existencias,0204050,"Tubo Negro 3""X3.0mX6.0m",Negro,Unit(s),0,0,171.000,0,0,0,171.000
LIM/Existencias,0204073,Tubo RED 60X1.8mX6.0m PR,Negro,Unit(s),0,0,2013.000,0,0,0,2013.000
LIM/Existencias,0204074,Tubo RED 48X2.0mX6.0m PR,Negro,Unit(s),0,0,854.000,0,0,0,854.000
LIM/Existencias,0204075,Tubo RED 60X2.0mX6.0m PR,Negro,Unit(s),0,0,671.000,0,0,0,671.000
LIM/Existencias,0204078,Tubo RED 48X1.8mX6.0m PR,Negro,Unit(s),0,0,2562.000,0,0,0,2562.000
LIM/Existencias,0204080,Tubo RED 114X2.5mX6.0m PR,Negro,Unit(s),0,0,209.000,0,0,0,209.000
LIM/Existencias,0204084,"Tubo Negro 1""X1.8mX6.4m",Negro,Unit(s),0,0,300.000,0,0,0,300.000
LIM/Existencias,0204085,"Tubo Negro 6""X3.0mX6.0m",Negro,Unit(s),0,0,500.000,0,0,0,500.000
LIM/Existencias,0202118,Tubo CUAD 75X1.8mX6.0m LAC ,Cuadrado,Unit(s),0,0,160.000,0,0,0,160.000
LIM/Existencias,0202119,Tubo CUAD 38X1.5mX6.0m LAC PR,Cuadrado,Unit(s),0,0,4459.000,0,0,0,4459.000
LIM/Existencias,0202128,"TUBO CUAD 1/2""X0.8mX6.0m",Cuadrado,Unit(s),0,0,4320.000,0,0,0,4320.000
LIM/Existencias,0202129,"TUBO CUAD 1/2""X0.9mX6.0m",Cuadrado,Unit(s),0,0,1584.000,0,0,0,1584.000
LIM/Existencias,0202139,"Tubo CUAD  6""X3.0mX6.0mt",Cuadrado,Unit(s),0,0,320.000,0,0,0,320.000
LIM/Existencias,0202158,Tubo CUAD 100X1.8mX6.0m LAC ,Cuadrado,Unit(s),0,0,200.000,0,0,0,200.000
LIM/Existencias,0202167,"Tubo CUAD  8""X3.0mX6.0mt",Cuadrado,Unit(s),0,0,17.000,0,0,0,17.000
LIM/Existencias,0202168,"Tubo CUAD  8""X4.5mX6.0mt",Cuadrado,Unit(s),0,0,102.000,0,0,0,102.000
LIM/Existencias,0202169,"Tubo CUAD 10""X10""X6.0mX6.0M LAC",Cuadrado,Unit(s),3.000,3.000,1.000,0,0,0,4.000
LIM/Existencias,0202170,"Tubo CUAD  6""X6.3mX6.0mt",Cuadrado,Unit(s),0,0,1.000,0,0,0,1.000
LIM/Existencias,0202187,"Tubo CUAD 10""X10""X4.5mX6.0m LAC",Cuadrado,Unit(s),0,0,2.000,0,0,0,2.000
LIM/Existencias,0202190,Tubo CUAD 100X4.5mX6.0m LAC,Cuadrado,Unit(s),0,0,11.000,0,0,0,11.000
LIM/Existencias,0202200,"Tubo CUAD 1.1/2""X1.5mX6.0m LAC",Cuadrado,Unit(s),0,0,1300.000,0,0,0,1300.000
LIM/Existencias,0202207,"Tubo CUAD 1.1/4""X1.5mX6.0m LAC",Cuadrado,Unit(s),150.000,150.000,1700.000,0,0,0,1850.000
LIM/Existencias,0202208,Tubo CUAD 100X6.0 mX6.0m LAC,Cuadrado,Unit(s),0,0,5.000000,0,0,0,5.000000
LIM/Existencias,0202209,"Tubo CUAD 1""X1.5mX6.0m LAC",Cuadrado,Unit(s),0,0,1800.000,0,0,0,1800.000
LIM/Existencias,0202226,Tubo CUAD 200 X4.0mX6.0mt,Cuadrado,Unit(s),0,0,39.000,0,0,0,39.000
LIM/Existencias,0203003,"Tubo RECT 1/2""X1.1/2""X0.75mX6.0m",Rectangular,Unit(s),0,0,576.000,0,0,0,576.000
LIM/Existencias,0203004,"Tubo RECT 1/2""X1.1/2""X0.8mX6.0m",Rectangular,Unit(s),0,0,864.000,0,0,0,864.000
LIM/Existencias,0203005,"Tubo RECT 1/2""X1.1/2""X0.9mX6.0m",Rectangular,Unit(s),0,0,1772.000,0,0,0,1772.000
LIM/Existencias,0203006,"Tubo RECT 1/2""X1.1/2""X1.2mX6.0m",Rectangular,Unit(s),0,0,1350.000,0,0,0,1350.000
LIM/Existencias,0203007,"Tubo RECT 1/2""X1.1/2""X1.5mX6.0m",Rectangular,Unit(s),0,0,900.000,0,0,0,900.000
